1234,Widget 1,Supplier A,1100.00,6/2/2012,supplies_2012.csv
2345,Widget 2,Supplier A,2300.00,6/17/2012,supplies_2012.csv
4567,Widget 4,Supplier B,1300.00,7/4/2012,supplies_2012.csv
6789,Widget 6,Supplier C,1175.00,7/23/2012,supplies_2012.csv
7890,Widget 7,Supplier C,1200.00,7/27/2012,supplies_2012.csv
1234,Widget 1,Supplier A,1100.00,6/2/2013,supplies_2013.csv
2345,Widget 2,Supplier A,2300.00,6/17/2013,supplies_2013.csv
4567,Widget 4,Supplier B,1300.00,7/4/2013,supplies_2013.csv
6789,Widget 6,Supplier C,1175.00,7/23/2013,supplies_2013.csv
7890,Widget 7,Supplier C,1200.00,7/27/2013,supplies_2013.csv
1234,Widget 1,Supplier A,1100.00,6/2/2014,supplies_2014.csv
2345,Widget 2,Supplier A,2300.00,6/17/2014,supplies_2014.csv
4567,Widget 4,Supplier B,1300.00,7/4/2014,supplies_2014.csv
6789,Widget 6,Supplier C,1175.00,7/23/2014,supplies_2014.csv
7890,Widget 7,Supplier C,1200.00,7/27/2014,supplies_2014.csv
1234.0,Widget 1,Supplier A,1100.0,6/2/2013,supplies.xls,supplies_2013
2345.0,Widget 2,Supplier A,2300.0,6/17/2013,supplies.xls,supplies_2013
4567.0,Widget 4,Supplier B,1300.0,7/4/2013,supplies.xls,supplies_2013
6789.0,Widget 6,Supplier C,1175.0,7/23/2013,supplies.xls,supplies_2013
7890.0,Widget 7,Supplier C,1200.0,7/27/2013,supplies.xls,supplies_2013
1234.0,Widget 1,Supplier A,1100.0,6/2/2014,supplies.xls,supplies_2014
2345.0,Widget 2,Supplier A,2300.0,6/17/2014,supplies.xls,supplies_2014
4567.0,Widget 4,Supplier B,1300.0,7/4/2014,supplies.xls,supplies_2014
6789.0,Widget 6,Supplier C,1175.0,7/23/2014,supplies.xls,supplies_2014
7890.0,Widget 7,Supplier C,1200.0,7/27/2014,supplies.xls,supplies_2014
1234.0,Widget 1,Supplier A,1100.0,6/2/2013,supplies.xlsx,supplies_2013
2345.0,Widget 2,Supplier A,2300.0,6/17/2013,supplies.xlsx,supplies_2013
4567.0,Widget 4,Supplier B,1300.0,7/4/2013,supplies.xlsx,supplies_2013
6789.0,Widget 6,Supplier C,1175.0,7/23/2013,supplies.xlsx,supplies_2013
7890.0,Widget 7,Supplier C,1200.0,7/27/2013,supplies.xlsx,supplies_2013
1234.0,Widget 1,Supplier A,1100.0,6/2/2014,supplies.xlsx,supplies_2014
2345.0,Widget 2,Supplier A,2300.0,6/17/2014,supplies.xlsx,supplies_2014
4567.0,Widget 4,Supplier B,1300.0,7/4/2014,supplies.xlsx,supplies_2014
6789.0,Widget 6,Supplier C,1175.0,7/23/2014,supplies.xlsx,supplies_2014
7890.0,Widget 7,Supplier C,1200.0,7/27/2014,supplies.xlsx,supplies_2014
1234,Widget 1,Supplier A,1100.00,6/2/2012,supplies_2012.csv
2345,Widget 2,Supplier A,2300.00,6/17/2012,supplies_2012.csv
4567,Widget 4,Supplier B,1300.00,7/4/2012,supplies_2012.csv
6789,Widget 6,Supplier C,1175.00,7/23/2012,supplies_2012.csv
7890,Widget 7,Supplier C,1200.00,7/27/2012,supplies_2012.csv
1234.0,Widget 1,Supplier A,1100.0,6/2/2013,supplies.xls,supplies_2013
2345.0,Widget 2,Supplier A,2300.0,6/17/2013,supplies.xls,supplies_2013
4567.0,Widget 4,Supplier B,1300.0,7/4/2013,supplies.xls,supplies_2013
6789.0,Widget 6,Supplier C,1175.0,7/23/2013,supplies.xls,supplies_2013
7890.0,Widget 7,Supplier C,1200.0,7/27/2013,supplies.xls,supplies_2013
1234.0,Widget 1,Supplier A,1100.0,6/2/2014,supplies.xls,supplies_2014
2345.0,Widget 2,Supplier A,2300.0,6/17/2014,supplies.xls,supplies_2014
4567.0,Widget 4,Supplier B,1300.0,7/4/2014,supplies.xls,supplies_2014
6789.0,Widget 6,Supplier C,1175.0,7/23/2014,supplies.xls,supplies_2014
7890.0,Widget 7,Supplier C,1200.0,7/27/2014,supplies.xls,supplies_2014
1234.0,Widget 1,Supplier A,1100.0,6/2/2013,supplies.xlsx,supplies_2013
2345.0,Widget 2,Supplier A,2300.0,6/17/2013,supplies.xlsx,supplies_2013
4567.0,Widget 4,Supplier B,1300.0,7/4/2013,supplies.xlsx,supplies_2013
6789.0,Widget 6,Supplier C,1175.0,7/23/2013,supplies.xlsx,supplies_2013
7890.0,Widget 7,Supplier C,1200.0,7/27/2013,supplies.xlsx,supplies_2013
1234.0,Widget 1,Supplier A,1100.0,6/2/2014,supplies.xlsx,supplies_2014
2345.0,Widget 2,Supplier A,2300.0,6/17/2014,supplies.xlsx,supplies_2014
4567.0,Widget 4,Supplier B,1300.0,7/4/2014,supplies.xlsx,supplies_2014
6789.0,Widget 6,Supplier C,1175.0,7/23/2014,supplies.xlsx,supplies_2014
7890.0,Widget 7,Supplier C,1200.0,7/27/2014,supplies.xlsx,supplies_2014
1234,Widget 1,Supplier A,1100.00,6/2/2012,supplies_2012.csv
2345,Widget 2,Supplier A,2300.00,6/17/2012,supplies_2012.csv
4567,Widget 4,Supplier B,1300.00,7/4/2012,supplies_2012.csv
6789,Widget 6,Supplier C,1175.00,7/23/2012,supplies_2012.csv
7890,Widget 7,Supplier C,1200.00,7/27/2012,supplies_2012.csv
